"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
AET,""Аллакакет"",""Allakaket"",""66.5655556:-152.6455556"",""America/Anchorage"",""United States""
AEU,""Абу Муса"",""Abu Musa"",,""+0.0"",""Iran""
AEX,""Александрия"",""Alexandria"",""31.3112936:-92.4451371"",""America/New_York"",""United States""
AEY,""Акюрейри"",""Akureyri"",""65.683868:-18.11046"",""Atlantic/Reykjavik"",""Iceland""
AFA,""Сан-Рафаэль"",""San Rafael"",""-34.6131516:-68.341011"",""America/Argentina/Mendoza"",""Argentina""
AFD,""Порт Альфред"",""Port Alfred"",""-33.6:26.8833333"",""Africa/Johannesburg"",""South Africa""
AFI,""Амальфи"",""Amalfi"",""6.9166667:-75.0833333"",""America/Bogota"",""Colombia""
AFK,""Ампара"",""Ampara"",""7.2317591:81.647344"",,""Sri Lanka""
AFL,""Алта-Флореста"",""Alta Floresta"",""-9.8764971:-56.0864252"",""America/Cuiaba"",""Brazil""
AFN,""Джаффри"",""Jaffrey"",""42.813973:-72.0231359"",""America/New_York"",""United States""
AFO,""Афтон"",""Afton"",""42.7249282:-110.9318687"",""America/Chicago"",""United States""
AFR,""Афор"",""Afore"",""-9.133333:148.383333"",""Pacific/Port_Moresby"",""Papua New Guinea""
AFS,""Зарафшан"",""Zarafshan"",""41.578861:64.19313"",,""Uzbekistan""
AFT,""Афутара"",""Afutara"",,""+0.0"",""Solomon Islands""
AFY,""Афьонкарахисар"",""Afyon"",""38.76376:30.54034"",""Europe/Istanbul"",""Turkey""
AFZ,""Себзевар"",""Sabzevar"",,,""Iran""
AGA,""Агадир"",""Agadir"",""30.4:-9.6"",""Africa/Casablanca"",""Morocco""
AGD,""Ангги"",""Anggi"",""-1.383333:133.866667"",""Asia/Jayapura"",""Indonesia""
AGE,""Вангероге"",""Wangerooge"",""53.78812:7.9004975"",""Europe/Berlin"",""Germany""
AGF,""Ажен"",""Agen"",""44.203142:0.616363"",""Europe/Paris"",""France""
AGG,""Ангорам"",""Angoram"",""-4.05:144.07"",""Pacific/Port_Moresby"",""Papua New Guinea""
AGH,""Энгельхольм"",""Angelholm"",""56.2432:12.8615092"",""Europe/Stockholm"",""Sweden""
AGI,""Вагенинген"",""Wageningen"",,""+3.0"",""Suriname""
AGJ,""Агуни"",""Aguni"",""26.59:127.22"",""Asia/Tokyo"",""Japan""
AGK,""Кагуа"",""Kagua"",""-6.38:143.85"",""Pacific/Port_Moresby"",""Papua New Guinea""
AGL,""Ванигела"",""Wanigela"",""-9.33:149.15"",""Pacific/Port_Moresby"",""Papua New Guinea""
AGM,""Тасиилак"",""Tasiilaq"",""65.6043845:-37.7072462"",""America/Godthab"",""Greenland""
AGN,""Ангун"",""Angoon"",""57.5033333:-134.5838889"",""America/Juneau"",""United States""
AGO,""Магнолиа"",""Magnolia"",""33.2670725:-93.239334"",""America/Chicago"",""United States""
AGP,""Малага"",""Malaga"",""36.7196484:-4.4200163"",""Europe/Madrid"",""Spain""
AGQ,""Агринион"",""Agrinion"",""38.628633:21.412317"",""Europe/Athens"",""Greece""
AGR,""Агра"",""Agra"",""27.1766701:78.0080745"",""Asia/Kolkata"",""India""
AGS,""Огаста"",""Augusta"",""33.474246:-82.00967"",""America/Indiana/Vevay"",""United States""
AGT,""Сьюдад-дель-Эсте"",""Ciudad Del Este"",""-25.5085286:-54.6753231"",""America/Asuncion"",""Paraguay""
AGU,""Агуаскальентес"",""Aguascalientes"",""21.8817964:-102.2912701"",""America/Tijuana"",""Mexico""
AGV,""Акаригуа"",""Acarigua"",""9.563591:-69.205452"",""America/Caracas"",""Venezuela""
AGW,""Агнью"",""Agnew"",""-12.15:142.15"",""Australia/Perth"",""Australia""
AGX,""Агатти"",""Agatti Island"",""10.8575607:72.1934421"",""Asia/Kolkata"",""India""
AGY,""Аргил Даунс"",""Argyle Downs"",""-16.33:128.77"",""Australia/Perth"",""Australia""
